node;spcode;species;island;size;ancestor;time;OU.1;OU.3;OU.4;OU.LP
1;NA;NA;NA;NA;NA;0;ns;medium;anc;medium
2;NA;NA;NA;NA;1;12;ns;medium;anc;medium
3;NA;NA;NA;NA;2;32;ns;medium;anc;small
4;NA;NA;NA;NA;3;34;ns;medium;anc;small
5;NA;NA;NA;NA;4;36;ns;medium;anc;small
6;NA;NA;NA;NA;3;36;ns;medium;anc;small
7;NA;NA;NA;NA;1;8;ns;medium;anc;medium
8;NA;NA;NA;NA;7;13;ns;medium;anc;medium
9;NA;NA;NA;NA;8;18;ns;medium;anc;large
10;NA;NA;NA;NA;9;23;ns;medium;anc;large
11;NA;NA;NA;NA;10;28;ns;medium;anc;large
12;NA;NA;NA;NA;9;28;ns;medium;anc;large
13;NA;NA;NA;NA;8;22;ns;medium;anc;medium
14;NA;NA;NA;NA;13;26;ns;medium;anc;medium
15;NA;NA;NA;NA;14;34;ns;medium;anc;medium
16;NA;NA;NA;NA;15;36;ns;medium;anc;medium
17;NA;NA;NA;NA;7;28;ns;medium;anc;medium
18;NA;NA;NA;NA;17;30;ns;medium;anc;medium
19;NA;NA;NA;NA;18;34;ns;medium;anc;medium
20;NA;NA;NA;NA;19;36;ns;medium;anc;medium
21;NA;NA;NA;NA;20;37;ns;medium;anc;medium
22;NA;NA;NA;NA;19;36;ns;medium;anc;medium
23;po;Anolis pogus;St. Maarten;13.5;2;38;ns;small;small;small
24;se;Anolis schwartzi;St. Eustasius;14.3;4;38;ns;small;small;small
25;sc;Anolis schwartzi;St. Christopher;14.3;5;38;ns;small;small;small
26;sn;Anolis schwartzi;Nevis;14.2;5;38;ns;small;small;small
27;wb;Anolis wattsii;Barbuda;14.5;6;38;ns;small;small;small
28;wa;Anolis wattsii;Antigua;14.9;6;38;ns;small;small;small
29;be;Anolis bimaculatus;St. Eustasius;23.6;10;38;ns;large;large;large
30;bn;Anolis bimaculatus;Nevis;27.1;11;38;ns;large;large;large
31;bc;Anolis bimaculatus;St. Christopher;27.9;11;38;ns;large;large;large
32;lb;Anolis leachi;Barbuda;28.6;12;38;ns;large;large;large
33;la;Anolis leachi;Antigua;28.8;12;38;ns;large;large;large
34;nu;Anolis nubilus;Redonda;21.1;13;38;ns;medium;medium;medium
35;sa;Anolis sabanus;Saba;18.3;14;38;ns;medium;medium;medium
36;gb;Anolis gingivinus;St. Barthelemy;19.7;15;38;ns;medium;medium;medium
37;ga;Anolis gingivinus;Antigua;18.8;16;38;ns;medium;medium;medium
38;gm;Anolis gingivinus;St. Maarten;19.6;16;38;ns;large;large;large
39;oc;Anolis oculatus;Dominica;22.3;17;38;ns;medium;medium;medium
40;fe;Anolis ferreus;Marie Galante;28.4;18;38;ns;medium;medium;medium
41;li;Anolis lividus;Montserrat;18.7;20;38;ns;medium;medium;medium
42;mg;Anolis marmoratus;Guadeloupe;18.9;21;38;ns;medium;medium;medium
43;md;Anolis marmoratus;Desirade;19.9;21;38;ns;medium;medium;medium
44;t1;Anolis terraealtae;Illes de Saintes-1;21.3;22;38;ns;medium;medium;medium
45;t2;Anolis terraealtae;Illes de Saintes-2;21.5;22;38;ns;medium;medium;medium
