"node";"species";"log.SSD";"ancestor";"time";"OU.1";"OU.7"
"1";"1";NA;NA;NA;0;"ns";"anc"
"2";"2";NA;NA;"1";0.1614;"ns";"anc"
"3";"3";NA;NA;"2";0.1845;"ns";"anc"
"4";"4";NA;NA;"3";0.4778;"ns";"anc"
"5";"5";NA;NA;"3";0.3909;"ns";"anc"
"6";"6";NA;NA;"3";0.5026;"ns";"anc"
"7";"7";NA;NA;"3";0.2372;"ns";"anc"
"8";"8";NA;NA;"7";0.6986;"ns";"anc"
"9";"9";NA;NA;"7";0.4864;"ns";"anc"
"10";"10";NA;NA;"9";0.6838;"ns";"anc"
"11";"11";NA;NA;"3";0.2783;"ns";"anc"
"12";"12";NA;NA;"11";0.5529;"ns";"anc"
"13";"13";NA;NA;"11";0.4259;"ns";"anc"
"14";"14";NA;NA;"3";0.2826;"ns";"anc"
"15";"15";NA;NA;"14";0.3998;"ns";"anc"
"16";"16";"oc";-0.00512;"1";1;"ns";"tw"
"17";"17";"eq";0.08454;"2";1;"ns";"cg"
"18";"18";"co";0.24703;"4";1;"ns";"tc"
"19";"19";"aln";0.24837;"4";1;"ns";"tc"
"20";"20";"ol";0.09844;"5";1;"ns";"gb"
"21";"21";"in";0.06137;"5";1;"ns";"tw"
"22";"22";"cu";0.09501;"6";1;"ns";"cg"
"23";"23";"ri";0.08947;"6";1;"ns";"cg"
"24";"24";"sa";0.28893;"8";1;"ns";"tg"
"25";"25";"op";0.15963;"8";1;"ns";"gb"
"26";"26";"va";0.14766;"9";1;"ns";"tw"
"27";"27";"li";0.38873;"9";1;"ns";"tg"
"28";"28";"ga";0.28768;"10";1;"ns";"cg"
"29";"29";"gr";0.39786;"10";1;"ns";"tc"
"30";"30";"br";0.17106;"12";1;"ns";"tr"
"31";"31";"di";0.13801;"12";1;"ns";"tr"
"32";"32";"kr";0.23478;"13";1;"ns";"gb"
"33";"33";"cr";0.39796;"13";1;"ns";"tg"
"34";"34";"st";0.15737;"13";1;"ns";"tc"
"35";"35";"cy";0.26024;"3";1;"ns";"tg"
"36";"36";"alu";0.08216;"14";1;"ns";"gb"
"37";"37";"lo";0.13108;"15";1;"ns";"tr"
"38";"38";"an";0.13547;"15";1;"ns";"tw"
