node;species;size;ancestor;time;OU.1;OU.3;OU.4;OU.LP
1;NA;NA;NA;0;ns;medium;anc;medium
2;NA;NA;1;12;ns;medium;anc;medium
3;NA;NA;2;32;ns;medium;anc;small
4;NA;NA;3;34;ns;medium;anc;small
5;NA;NA;4;36;ns;medium;anc;small
6;NA;NA;3;36;ns;medium;anc;small
7;NA;NA;1;8;ns;medium;anc;medium
8;NA;NA;7;13;ns;medium;anc;medium
9;NA;NA;8;18;ns;medium;anc;large
10;NA;NA;9;23;ns;medium;anc;large
11;NA;NA;10;28;ns;medium;anc;large
12;NA;NA;9;28;ns;medium;anc;large
13;NA;NA;8;22;ns;medium;anc;medium
14;NA;NA;13;26;ns;medium;anc;medium
15;NA;NA;14;34;ns;medium;anc;medium
16;NA;NA;15;36;ns;medium;anc;medium
17;NA;NA;7;28;ns;medium;anc;medium
18;NA;NA;17;30;ns;medium;anc;medium
19;NA;NA;18;34;ns;medium;anc;medium
20;NA;NA;19;36;ns;medium;anc;medium
21;NA;NA;20;37;ns;medium;anc;medium
22;NA;NA;19;36;ns;medium;anc;medium
23;po;13.5;2;38;ns;small;small;small
24;se;14.3;4;38;ns;small;small;small
25;sc;14.3;5;38;ns;small;small;small
26;sn;14.2;5;38;ns;small;small;small
27;wb;14.5;6;38;ns;small;small;small
28;wa;14.9;6;38;ns;small;small;small
29;be;23.6;10;38;ns;large;large;large
30;bn;27.1;11;38;ns;large;large;large
31;bc;27.9;11;38;ns;large;large;large
32;lb;28.6;12;38;ns;large;large;large
33;la;28.8;12;38;ns;large;large;large
34;nu;21.1;13;38;ns;medium;medium;medium
35;sa;18.3;14;38;ns;medium;medium;medium
36;gb;19.7;15;38;ns;medium;medium;medium
37;ga;18.8;16;38;ns;medium;medium;medium
38;gm;19.6;16;38;ns;large;large;large
39;oc;22.3;17;38;ns;medium;medium;medium
40;fe;28.4;18;38;ns;medium;medium;medium
41;li;18.7;20;38;ns;medium;medium;medium
42;mg;18.9;21;38;ns;medium;medium;medium
43;md;19.9;21;38;ns;medium;medium;medium
44;t1;21.3;22;38;ns;medium;medium;medium
45;t2;21.5;22;38;ns;medium;medium;medium
